event_id,attacking_team_id,attacker_track_id,start_frame,end_frame,duration_sec
99,1,8,5,141,4.533333333333333
287,1,18,5,69,2.1333333333333333
159,1,12,7,157,5.0
405,0,15,7,11,0.13333333333333333
62,1,16,8,9,0.03333333333333333
52,1,10,14,23,0.3
224,1,2,18,78,2.0
391,1,20,37,50,0.43333333333333335
63,1,16,38,39,0.03333333333333333
142,1,22,53,56,0.1
64,1,16,71,72,0.03333333333333333
53,1,10,78,79,0.03333333333333333
165,0,25,95,97,0.06666666666666667
95,0,7,105,112,0.23333333333333334
136,1,27,105,127,0.7333333333333333
54,1,10,107,135,0.9333333333333333
65,1,16,114,116,0.06666666666666667
66,1,16,133,174,1.3666666666666667
225,1,2,138,144,0.2
392,1,30,140,140,0.0
341,0,21,141,141,0.0
342,0,21,159,159,0.0
39,0,27,169,189,0.6666666666666666
203,0,5,169,341,5.733333333333333
406,0,15,172,209,1.2333333333333334
296,0,30,187,276,2.966666666666667
343,0,21,187,189,0.06666666666666667
361,0,19,188,475,9.566666666666666
310,0,3,195,198,0.1
100,1,8,196,197,0.03333333333333333
155,0,17,196,205,0.3
166,0,14,196,198,0.06666666666666667
40,0,27,213,547,11.133333333333333
156,0,17,221,221,0.0
6,0,33,222,641,13.966666666666667
311,0,3,224,366,4.733333333333333
167,0,14,242,276,1.1333333333333333
407,0,15,242,276,1.1333333333333333
226,1,2,279,279,0.0
157,0,17,289,443,5.133333333333334
168,0,14,293,560,8.9
408,0,15,293,657,12.133333333333333
141,0,1,294,297,0.1
256,0,9,321,321,0.0
204,0,5,374,444,2.3333333333333335
158,0,17,496,507,0.36666666666666664
96,1,5,515,523,0.26666666666666666
55,1,10,522,564,1.4
312,0,3,543,543,0.0
169,0,14,579,582,0.1
160,1,12,581,581,0.0
56,1,10,582,582,0.0
362,0,19,584,654,2.3333333333333335
41,0,27,585,740,5.166666666666667
205,0,5,603,605,0.06666666666666667
170,0,14,606,674,2.2666666666666666
354,0,49,615,615,0.0
355,0,49,634,727,3.1
285,0,51,649,749,3.3333333333333335
206,0,5,657,691,1.1333333333333333
344,1,6,666,666,0.0
255,0,52,670,695,0.8333333333333334
171,0,14,715,715,0.0
207,0,5,717,720,0.1
313,1,13,725,725,0.0
7,0,55,741,758,0.5666666666666667
161,1,12,756,1134,12.6
32,1,46,757,758,0.03333333333333333
219,1,37,757,759,0.06666666666666667
57,1,10,758,758,0.0
200,1,42,758,839,2.7
42,0,27,759,777,0.6
26,1,54,763,763,0.0
247,1,49,765,766,0.03333333333333333
314,1,13,765,887,4.066666666666666
340,0,16,775,777,0.06666666666666667
8,0,55,776,777,0.03333333333333333
286,0,51,776,777,0.03333333333333333
356,0,49,779,779,0.0
58,1,10,784,1043,8.633333333333333
227,1,2,784,1222,14.6
345,1,6,786,886,3.3333333333333335
33,1,46,789,809,0.6666666666666666
146,1,53,789,803,0.4666666666666667
220,1,37,793,837,1.4666666666666666
27,1,54,812,943,4.366666666666666
67,1,16,814,819,0.16666666666666666
163,0,40,819,820,0.03333333333333333
34,1,46,825,839,0.4666666666666667
164,0,40,847,856,0.3
172,0,14,855,855,0.0
35,1,46,856,857,0.03333333333333333
221,1,37,858,858,0.0
119,0,58,896,896,0.0
